Marital_status,Application_mode,Application_order,Course,Previous_qualification_grade,Nationality,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Unemployment_rate,Inflation_rate,GDP,Status,Attendance_Time,Previous_education,Mothers_education,Fathers_education,1st_year_approved_unit,1st_year_enrolled_unit,1st_year_evaluated_unit,1st_year_credited_unit,1st_year_unevaluated_unit,1st_year_unit_grade,1st_year_completion_unit_rate,1st_year_success_evaluation_rate
single,18,1,Social Science,68.5,South Europe,Service & Sales,Labour,68.7,Yes,No,No,Yes,Female,No,18,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,Middle School,3,12,24,0,0,57.5,0.2499999791666684,0.12499999479166687
single,1,1,Social Science,70.0,South Europe,Labour,Labour,62.3,Yes,No,No,Yes,Female,No,18,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,High School,High School,12,14,15,0,0,62.91666666666666,0.8571427959183717,0.7999999466666703
single,18,4,Health Science,63.5,South Europe,Administrative,Labour,60.9,Yes,No,No,Yes,Female,No,20,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,Middle School,15,15,23,0,0,57.15625,0.9999999333333378,0.6521738846880919
single,1,1,Social Science,75.5,South Europe,Labour,Labour,78.5,Yes,No,Yes,Yes,Female,Yes,18,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,Middle School,9,12,20,0,0,56.5,0.7499999375000053,0.4499999775000011
single,1,1,Health Science,69.0,South Europe,Technician,Technician,65.5,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,High School,9,10,16,0,2,64.16666666666666,0.8999999100000091,0.5624999648437522
single,17,2,Health Science,63.5,South Europe,Management,Armed Forces,59.4,Yes,No,No,Yes,Male,No,19,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,Bachelor & Specialized Education,Bachelor & Specialized Education,12,14,16,0,0,66.625,0.8571427959183717,0.7499999531250029
single,44,1,Science & Technology,75.0,South Europe,Administrative,Professional,75.0,No,No,No,Yes,Male,No,21,No,16.2,0.3,-0.92,Enrolled,Daytime,Bachelor & Specialized Education,Master,Doctorate,10,12,32,0,0,56.07142857142858,0.8333332638888947,0.3124999902343753
single,1,1,Business & Management,71.5,South Europe,Administrative,Labour,69.4,No,No,No,No,Male,No,18,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,High School,5,10,17,0,0,62.08333333333334,0.499999950000005,0.2941176297577865
single,17,1,Business & Management,77.0,South Europe,Administrative,Service & Sales,67.05,No,No,No,Yes,Female,No,24,No,7.6,2.6,0.32,Enrolled,Evening,High School,Middle School,Middle School,5,10,20,0,1,64.58333333333334,0.499999950000005,0.2499999875000006
single,1,1,Health Science,69.5,South Europe,Labour,Labour,60.65,Yes,No,No,Yes,Female,Yes,19,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Primary,Middle School,12,16,20,0,0,59.16666666666667,0.7499999531250029,0.5999999700000015
single,1,1,Social Science,63.5,South Europe,Labour,Labour,60.9,Yes,No,No,Yes,Female,Yes,20,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,High School,7,12,23,0,0,62.5,0.5833332847222263,0.3043478128544429
single,1,3,Social Science,62.5,South Europe,Administrative,Labour,57.6,Yes,No,No,Yes,Female,No,18,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Middle School,Primary,0,0,0,0,0,0.0,0.0,0.0
single,17,3,Social Science,66.5,South Europe,Administrative,Labour,63.0,Yes,No,No,Yes,Male,Yes,19,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,Primary,0,0,0,0,0,0.0,0.0,0.0
single,17,1,Social Science,63.5,South Europe,Technician,Administrative,65.1,Yes,No,No,Yes,Male,No,19,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,High School,6,12,14,0,0,53.5,0.4999999583333368,0.42857139795918586
single,43,1,Social Science,58.0,South Europe,Technician,Technician,60.45,No,No,No,Yes,Male,No,24,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,High School,0,12,12,0,0,0.0,0.0,0.0
single,39,1,Business & Management,80.0,South Europe,Labour,Armed Forces,50.0,No,No,No,Yes,Male,No,26,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,Primary,11,12,15,0,0,57.0,0.9166665902777842,0.7333332844444478
single,17,1,Business & Management,74.0,South Europe,Service & Sales,Service & Sales,67.0,No,No,No,Yes,Male,No,18,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Middle School,Primary,0,10,14,0,0,0.0,0.0,0.0
single,17,1,Business & Management,60.0,South Europe,Administrative,Administrative,62.75,No,No,No,Yes,Male,No,18,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,High School,8,10,14,0,0,58.33333333333334,0.7999999200000081,0.5714285306122479
single,1,6,Business & Management,71.5,South Europe,Labour,Labour,64.35,Yes,No,No,Yes,Male,No,23,No,11.1,0.6,2.02,Enrolled,Daytime,High School,Middle School,Primary,9,10,11,0,0,69.5,0.8999999100000091,0.8181817438016598
single,43,2,Science & Technology,57.5,South Europe,Labour,Labour,56.1,Yes,No,Yes,Yes,Male,No,18,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,Middle School,High School,2,10,18,0,0,25.0,0.19999998000000202,0.11111110493827195
single,15,1,Science & Technology,65.0,Africa,Labour,Professional,68.5,Yes,No,No,Yes,Male,No,19,Yes,13.9,-0.3,0.79,Enrolled,Daytime,High School,Middle School,Bachelor & Specialized Education,8,10,20,0,0,68.125,0.7999999200000081,0.399999980000001
single,1,1,Health Science,67.5,South Europe,Labour,Management,67.15,Yes,No,No,Yes,Female,No,19,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,High School,Bachelor & Specialized Education,10,10,14,0,2,70.0,0.99999990000001,0.7142856632653098
single,17,2,Social Science,66.55,South Europe,Labour,Technician,53.5,Yes,No,No,Yes,Female,No,20,No,16.2,0.3,-0.92,Enrolled,Daytime,High School,High School,High School,9,14,22,0,0,61.66666666666666,0.6428570969387788,0.4090908904958686
single,17,2,Business & Management,61.5,South Europe,Administrative,Labour,57.65,Yes,No,No,Yes,Female,Yes,18,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,Middle School,6,10,20,0,0,60.0,0.599999940000006,0.29999998500000075
single,43,1,Health Science,65.0,South Europe,Labour,Service & Sales,50.0,No,No,No,Yes,Female,No,20,No,13.9,-0.3,0.79,Enrolled,Daytime,High School,Middle School,Middle School,13,14,18,0,0,61.54166666666667,0.9285713622449028,0.7222221820987677
single,17,1,Social Science,77.0,South Europe,Labour,Labour,70.2,Yes,No,No,Yes,Female,Yes,20,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,Primary,6,12,25,0,0,51.875,0.4999999583333368,0.23999999040000036
single,17,1,Business & Management,60.0,South Europe,Technician,Technician,56.7,No,No,No,Yes,Female,No,20,No,12.4,0.5,1.79,Enrolled,Daytime,High School,High School,High School,6,10,21,0,0,52.5,0.599999940000006,0.28571427210884415
single,1,1,Social Science,73.0,South Europe,Labour,Technician,72.65,Yes,No,No,Yes,Female,Yes,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Middle School,10,12,15,0,0,65.5,0.8333332638888947,0.6666666222222252
single,1,2,Health Science,58.5,South Europe,Administrative,Labour,56.05,No,No,No,Yes,Female,Yes,20,No,11.1,0.6,2.02,Enrolled,Daytime,High School,High School,High School,12,15,18,0,0,65.20214285714286,0.7999999466666703,0.6666666296296316
single,51,1,Business & Management,49.5,South Europe,Technician,Technician,49.85,Yes,No,Yes,No,Female,No,22,No,8.9,1.4,3.51,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,0,10,15,0,0,0.0,0.0,0.0
single,1,1,Social Science,68.0,South Europe,Professional,Labour,60.85,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Bachelor & Specialized Education,Primary,0,0,0,0,0,0.0,0.0,0.0
single,17,1,Social Science,69.0,South Europe,Labour,Labour,62.35,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Middle School,Middle School,8,12,21,0,0,57.91666666666667,0.6666666111111158,0.38095236281179223
separated,39,1,Science & Technology,85.0,South Europe,Labour,Labour,85.0,No,No,Yes,Yes,Female,No,47,No,8.9,1.4,3.51,Enrolled,Daytime,High School,High School,Primary,0,7,1,0,0,0.0,0.0,0.0
single,39,1,Health Science,65.0,South Europe,Labour,Labour,65.0,Yes,No,No,Yes,Female,No,28,No,12.7,3.7,-1.7,Enrolled,Daytime,High School,Primary,High School,8,10,24,0,1,54.375,0.7999999200000081,0.333333319444445
single,1,1,Business & Management,65.5,South Europe,Labour,Labour,61.5,Yes,No,No,Yes,Female,Yes,18,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Primary,Primary,7,10,12,0,0,62.91666666666666,0.699999930000007,0.5833332847222263
single,44,1,Business & Management,70.0,South Europe,Labour,Labour,70.0,No,No,No,Yes,Female,Yes,26,No,9.4,-0.8,-3.12,Enrolled,Evening,Bachelor & Specialized Education,Primary,High School,12,12,14,4,1,64.58333333333333,0.9999999166666736,0.8571427959183717
single,43,1,Social Science,71.5,South Europe,Service & Sales,Labour,63.3,No,No,Yes,No,Female,No,21,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Primary,12,16,30,5,0,53.75,0.7499999531250029,0.3999999866666671
single,1,1,Social Science,60.0,South Europe,Labour,Technician,61.4,No,No,No,Yes,Female,No,23,No,9.4,-0.8,-3.12,Enrolled,Evening,High School,High School,Primary,3,11,25,0,0,50.0,0.2727272479338866,0.11999999520000018
single,39,1,Health Science,60.0,South Europe,Labour,Professional,52.95,No,No,No,Yes,Female,No,35,No,11.1,0.6,2.02,Enrolled,Daytime,High School,High School,Bachelor & Specialized Education,6,6,7,0,0,57.87500000000001,0.9999998333333611,0.857142734693895
single,39,1,Health Science,65.0,South Europe,Administrative,Service & Sales,72.5,No,No,No,Yes,Female,No,25,No,15.5,2.8,-4.06,Enrolled,Daytime,Bachelor & Specialized Education,High School,High School,14,15,19,0,0,63.59375,0.9333332711111153,0.7368420664819965
single,1,3,Health Science,62.5,South Europe,Administrative,Administrative,59.7,Yes,No,No,Yes,Female,No,19,No,12.4,0.5,1.79,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,13,14,18,0,0,59.83482142857143,0.9285713622449028,0.7222221820987677
single,16,1,Social Science,72.5,South Europe,Technician,Technician,77.5,Yes,No,No,Yes,Female,No,24,No,12.4,0.5,1.79,Enrolled,Daytime,High School,Bachelor & Specialized Education,Bachelor & Specialized Education,20,30,34,20,0,66.16161616161617,0.6666666444444451,0.5882352768166096
single,1,3,Social Science,62.5,South Europe,Labour,Labour,62.7,Yes,No,No,Yes,Female,No,19,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,High School,Middle School,10,12,13,0,0,62.0,0.8333332638888947,0.7692307100591762
single,1,1,Social Science,63.5,South Europe,Labour,Labour,61.6,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Primary,Primary,1,12,24,0,0,27.5,0.08333332638888948,0.041666664930555625
single,17,3,Social Science,58.0,South Europe,Labour,Labour,55.4,No,No,No,Yes,Female,No,18,No,7.6,2.6,0.32,Enrolled,Daytime,High School,Primary,Primary,12,12,12,0,0,60.83333333333334,0.9999999166666736,0.9999999166666736
single,1,1,Health Science,71.5,South Europe,Service & Sales,Labour,71.15,No,No,No,Yes,Female,Yes,18,No,12.4,0.5,1.79,Enrolled,Daytime,High School,High School,High School,15,15,15,0,0,68.93035714285715,0.9999999333333378,0.9999999333333378
single,17,1,Social Science,61.5,South Europe,Professional,Labour,56.95,No,No,No,Yes,Female,No,18,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,Master,Primary,12,12,14,0,0,62.08333333333334,0.9999999166666736,0.8571427959183717
single,44,1,Science & Technology,70.0,South Europe,Labour,Administrative,70.0,No,No,No,Yes,Female,No,24,No,12.4,0.5,1.79,Enrolled,Daytime,Bachelor & Specialized Education,Primary,Primary,11,12,22,0,0,61.07142857142858,0.9166665902777842,0.49999997727272827
single,1,1,Business & Management,59.5,South Europe,Administrative,Armed Forces,57.75,Yes,No,No,Yes,Female,No,19,No,10.8,1.4,1.74,Enrolled,Daytime,High School,High School,High School,8,12,17,0,0,55.0,0.6666666111111158,0.47058820761245834
single,17,1,Health Science,80.0,South Europe,Labour,Labour,73.9,No,No,No,Yes,Female,No,20,No,15.5,2.8,-4.06,Enrolled,Daytime,High School,Middle School,Middle School,12,15,23,0,0,62.10119047619047,0.7999999466666703,0.5217391077504736
single,5,3,Health Science,70.5,South Europe,Labour,Service & Sales,64.4,Yes,No,No,Yes,Female,No,19,No,7.6,2.6,0.32,Enrolled,Daytime,High School,High School,High School,6,10,17,0,1,58.33333333333334,0.599999940000006,0.35294115570934376
single,1,1,Social Science,66.0,South Europe,Administrative,Administrative,62.5,Yes,No,No,Yes,Female,No,18,No,9.4,-0.8,-3.12,Enrolled,Daytime,High School,Bachelor & Specialized Education,High School,10,12,17,0,0,60.0,0.8333332638888947,0.588235259515573
